#separator:tab
#html:false
go-ahead   /ˈɡoʊ əhed/          n.前进，进步；放行信号adj.前进着的前进着的 30%，放行信号 30%，前进 20%，进步 20%词性：名词 58%, 形容词 42%	go-ahead  /ˈɡoʊ əhed/       n.前进，进步；放行信号adj.前进着的前进着的 30%，放行信号 30%，前进 20%，进步 20%词性：名词 58%, 形容词 42%                                go-ahead
herbalist   /ˈɜːrbəlɪstˌˈhɜːrbəlɪst/          n.草药医生草药医生 91%，药草采集者 9%	herbalist  /ˈɜːrbəlɪstˌˈhɜːrbəlɪst/       n.草药医生草药医生 91%，药草采集者 9%                 herbal, 草药的, -ist, 人.      noun [ C ]uk/ˈhɜː.bəl.ɪst/ us/ˈɝː.bəl.ɪst/   a person who grows or sells herbs for use as medicine药草种植者；药草商          herbalist
regretfully   /rɪˈɡretfəli/          adv.懊悔地，遗憾地；抱歉地懊悔地 50%，遗憾地 50%	"regretfully  /rɪˈɡretfəli/       adv.懊悔地，遗憾地；抱歉地懊悔地 50%，遗憾地 50%                             Use the adverb regretfully to mean ""with regret"" — the sorrow you feel about something that has already happened. For example, little kids would regretfully turn over the candy bars they stole from the grocery store.If you're sorry about something you've done or said, you might speak regretfully about it. Your feeling of regret or remorse is reflected in your actions, like when you regretfully recall something you said to a friend who was very hurt by your words. Don't confuse regretfully with unfortunately, which doesn't carry the same weight of personal responsibility — unfortunately, it's raining and you regretfully forgot your umbrella.regretful: regretfully, unregretful/regret: regretful, regrets, regrettable, regretted, regretting/regrettable: regrettably/regretting: unregretting/unregretful: unregretfully    regretfully"
yeti   /ˈjeti/          n.雪人（等于Abominable Snowman）名词 100%	"yeti  /ˈjeti/       n.雪人（等于Abominable Snowman）名词 100%                 来自西藏语.      noun [ C ]uk/ˈjet.i/ us/ˈjet̬.i/ also abominable snowman  a big creature like a human covered in hair that is believed by some people to live in the Himalayas雪人（据传生活在喜马拉雅山区，形如人类）       A yeti is a mythical creature that's said to live in the Himalayan mountains. Another name for a yeti is ""abominable snowman.""While most people consider the yeti to be a legend, there are those who believe it's a real human-like creature that lives in Nepal and Tibet. The yeti — which is often spelled with a capital Y — has long been part of Tibetan legend and myth, and has existed in Western popular culture since the 19th century, when Himalayan explorers first reported seeing a strange, tall creature. The Tibetan root of yeti is yeh-teh, ""small manlike animal.""yeti: yetis   yeti"
wort   /wɔt/          n.麦芽汁；草；植物麦芽汁 92%，草本植物 8%	wort  /wɔt/       n.麦芽汁；草；植物麦芽汁 92%，草本植物 8%                                wort
reintegrate   /rɪˈɪntɪˌɡreɪt/          vt.重建；恢复；使重新完整时态:reintegrated, reintegrating, reintegrates使重新统一 50%，使重新成为一体 50%	reintegrate  /rɪˈɪntɪˌɡreɪt/       vt.重建；恢复；使重新完整时态:reintegrated, reintegrating, reintegrates使重新统一 50%，使重新成为一体 50%                                reintegrate
furtively   /ˈfɜːrtɪvli/          adv.偷偷地；暗中地偷偷地 60%，暗中地 40%	"furtively  /ˈfɜːrtɪvli/       adv.偷偷地；暗中地偷偷地 60%，暗中地 40%                 【反】candidly（adv.率直坦白地）            The adverb furtively is great for describing the movements or behavior of someone who's being sneaky or sly. Kids decorating their neighbor's trees with toilet paper on Halloween tend to sneak furtively around the yard.If you do something furtively, you don't want anyone to notice you; you're keeping a low profile. Usually, a person acting furtively feels guilty, or knows they're in danger of getting in trouble or being embarrassed. Furtively comes from the Latin word for ""theft,"" fur. You can think of furtively as meaning ""acting like a thief."" Even though not everyone who behaves furtively is a thief, you might think they are, seeing them sneak away.furtive: furtively, furtiveness   furtively"
hydraulics   /haɪˈdrɔːlɪks/          n.水力学原型:hydraulic水力学 85%，液压装置 15%	"hydraulics  /haɪˈdrɔːlɪks/       n.水力学原型:hydraulic水力学 85%，液压装置 15%                 来自 hydraulic, 水力的, 液压的, -ics, 学科.      noun [ plural ]uk/haɪˈdrɒl.ɪks/ us/haɪˈdrɑː.lɪks/   a system of using water to produce power水力发电系统，水力发动机 The hydraulics failed and the digger stopped.水力发动机停转了，挖掘机也就停止了工作。       Hydraulics is the science of the way fluids move. It's the branch of physics and engineering that focuses on the mechanics of liquids. If you want to be a civil engineer, you should probably learn about hydraulics.If you decide to study hydraulics, you'll learn about how fluids like water and oil are used in mechanical tasks. You might read up on hydraulic jacks, which can lift cars using oil that's forced into a cylinder using a kind of pump; or hydraulic fracturing, also known as ""fracking,"" which uses a liquid under pressure to fracture rock and extract oil or gas. Hydraulics comes from the Greek hydraulikos, or ""water organ,"" an ancient musical instrument.hydraulic: hydraulically, hydraulics   hydraulics"
unionization   /ˌjuːniənəˈzeɪʃ(ə)n/          n.工会化；联合；结合工会化 55%，联合 36%，形成工会 9%	unionization  /ˌjuːniənəˈzeɪʃ(ə)n/       n.工会化；联合；结合工会化 55%，联合 36%，形成工会 9%                                unionization
injunctive   /ɪnˈdʒʌŋktɪv/          adj.命令的；指令的；禁止令命令的 60%，指令的 40%	injunctive  /ɪnˈdʒʌŋktɪv/       adj.命令的；指令的；禁止令命令的 60%，指令的 40%                                injunctive
internationalist   /ˌɪntərˈnæʃ(ə)nəlɪst/          n.国际主义者；国际法学家国际主义者 80%，国际法学家 20%词性：名词 88%, 形容词 12%	internationalist  /ˌɪntərˈnæʃ(ə)nəlɪst/       n.国际主义者；国际法学家国际主义者 80%，国际法学家 20%词性：名词 88%, 形容词 12%                                internationalist
thereon   /ˌðerˈɑːn/          adv.在那上面，在其上；…之后立即在其上 55%，关于那 27%，立即 18%	thereon  /ˌðerˈɑːn/       adv.在那上面，在其上；…之后立即在其上 55%，关于那 27%，立即 18%                       adverbuk/ˌðeəˈrɒn/ us/ˌðerˈɑːn/ formal  on the thing that has been mentioned在其上 It applies to web pages and photographs posted thereon.这适用于网页以及其上的照片。          thereon
greenbelt   /ˈɡriːnˌbelt/          n.城市周围的绿色地带城市周围的绿色地带 100%	greenbelt  /ˈɡriːnˌbelt/       n.城市周围的绿色地带城市周围的绿色地带 100%                                greenbelt
ventilate   /ˈventɪleɪt/          vt.使通风；给…装通风设备；宣布时态:ventilated, ventilating, ventilates通风 91%，使 ... 空气流通 9%	"ventilate  /ˈventɪleɪt/       vt.使通风；给…装通风设备；宣布时态:ventilated, ventilating, ventilates通风 91%，使 ... 空气流通 9%           She opened the windows to ventilate the house.她打开窗户为房子通风。      来自拉丁语 ventus, 通风, 词源同 wind, 风.通风(vent+ilate表动词)[vent=wind,表示""风""] vt.使通风;给...装通风设备The new policy was freely ventilated in the press.新政策在报纸上公开讨论.【记】vent通风，来，ilate－通风 【参】vent（n.通风孔；v.放出；发泄）      verb [ T ]uk/ˈven.tɪ.leɪt/ us/ˈven.t̬əl.eɪt/  ventilate verb [ T ] PROVIDE AIR  to cause fresh air to enter and move around a closed space使通风；使空气流通 I work in a very well-/poorly-ventilated building.我工作的大楼通风非常好／差。  ventilate verb [ T ] MAKE KNOWN  formal to express an opinion or mention a subject so that it can be discussed by others说出；提到；发表 She used the meeting to ventilate all her grievances.她利用那次会议说出了自己所有的委屈。       To ventilate is to let something flow freely, whether it's air or ideas. It's especially important to ventilate your art studio if you're using spray paint.When a doctor uses the word ventilate, she's usually talking specifically about air moving through a patient's lungs: ""We need to artificially ventilate him until his airway is clear."" Otherwise, when we ventilate something, we're almost always trying to get more clean or cool air flowing in and moving around: ""You need to ventilate this room better before you set up your screen printing business here."" The root of ventilate means ""blowing.""ventilate: hyperventilate, ventilated, ventilates, ventilating, ventilation, ventilator, ventilatory/hyperventilate: hyperventilated, hyperventilates, hyperventilating, hyperventilation/vent: vented, venter, ventilate, venting, vents/vented: unvented/venter: venters, ventral/ventilated: unventilated/ventilation: ventilations/ventilator: ventilators/venting: ventings/ventral: ventrally    ventilate"
ardently   /ˈɑːrdntli/          adv.热烈地；热心地热烈地 50%，热心地 50%	ardently  /ˈɑːrdntli/       adv.热烈地；热心地热烈地 50%，热心地 50%                                ardently
newsgroup   /ˈnuːzɡruːp/          n.新闻组名词 100%	newsgroup  /ˈnuːzɡruːp/       n.新闻组名词 100%                       noun [ C ]uk/ˈnjuːz.ɡruːp/ us/ˈnuːz.ɡruːp/   a collection of messages that are shown on the internet and have been written by people interested in a particular subject（网络）新闻组 If you want to read discussions on the latest movies, subscribe to a newsgroup.如果你想阅读关于最新电影的讨论，就订阅一个新闻组。          newsgroup
brassy   /ˈbræsi/          n.铜头高尔夫球棍adj.刺耳的；厚脸皮的；似黄铜的厚脸皮的 63%，似黄铜的 37%	brassy  /ˈbræsi/       n.铜头高尔夫球棍adj.刺耳的；厚脸皮的；似黄铜的厚脸皮的 63%，似黄铜的 37%           What a brassy outfit--you should tone it down a little.多么耀眼的装束--你应该把它调低一点。      【记】脸象brass（n.黄铜）一样厚－厚颜无耻的 【反】diffident（adj.胆怯的，缺乏自信的）；humble（adj.谦虚的）；furtive（adj.偷偷摸摸的）；unassertive（adj.无自信的）      adjectiveuk/ˈbrɑː.si/ us/ˈbræs.i/  brassy adjective METAL  like brass in colour, or too bright黄铜色的；耀眼的 a brassy yellow铜黄色  brassy adjective SOUND  disapproving loud and unpleasant刺耳的 Her brassy voice rang out from the next room.她破锣般的声音从隔壁传了过来。  brassy adjective CONFIDENT  disapproving used to describe a woman who speaks and laughs too loudly and who dresses in bright, cheap clothes, often wearing too much make-up（女人）吵吵嚷嚷的，打扮花里胡哨的 She was your typical brassy blonde.她就是你说的那种典型的花哨浅薄的金发女郎。          brassy
fast   /fæst/          n.斋戒；绝食adj.快速的，迅速的；紧的，稳固的adv.迅速地；紧紧地；彻底地vi.禁食，斋戒时态:fasted, fasting, fasts级别:faster, fastest快的 37%，禁食 22%，斋戒 17%，迅速的 7%，紧紧地 6%，快速地 4%，紧的 3%，放荡的 3%，深深地 1%词性：副词 72%, 形容词 25%, 动词 2%, 名词 1%	"fast  /fæst/       n.斋戒；绝食adj.快速的，迅速的；紧的，稳固的adv.迅速地；紧紧地；彻底地vi.禁食，斋戒时态:fasted, fasting, fasts级别:faster, fastest快的 37%，禁食 22%，斋戒 17%，迅速的 7%，紧紧地 6%，快速地 4%，紧的 3%，放荡的 3%，深深地 1%词性：副词 72%, 形容词 25%, 动词 2%, 名词 1%           In her religion, they fast for five days and then have a big feast.在她的宗教中，他们斋戒五天，然后大吃一顿。      来自 past, 固定, 稳固, 进一步来自 pag, 固定, 连接, 词源同 fang, pact. 用于宗教术语斋戒, 绝食. 同时由稳固的衍生词义快速的. 类似词义演变参照 very, 原义真实的, fair, 原义美丽的, 或汉语成语欲速则不达.a.快的,迅速的;坚固的ad.紧紧地;迅速地Your watch is 10 minutes fast.你的表快了十分钟.【记】fast绝食要慢慢来，不能fast 【参】fasting（adj.禁食的n.禁食） 【类】fast:eat＝respite:labor＝moratorium:act斋戒是暂停进餐＝间歇是暂停劳动＝活动中止是暂停行动 【反】loosely attach（宽松的连接）      adjectiveuk/fɑːst/ us/fæst/  fast adjective QUICK A1 moving or happening quickly, or able to move or happen quickly快的；迅速的；敏捷的 fast cars速度快的汽车 a fast swimmer速度快的游泳者 Computers are getting faster all the time.计算机的速度在不断提升。UK The fast train (= one that stops at fewer stations and travels quickly) to London takes less than an hour.到伦敦的快车需时不到一小时。 If your watch or clock is fast, it shows a time that is later than the correct time.（钟表）走得快的 specialized art used to refer to photographic film that allows you to take pictures when there is not much light or when things are moving quickly（照相胶片）感光快的fast and furious used to describe something that is full of speed and excitement快速激烈的，充满速度与激情的 It's not a relaxing movie - it's pretty fast and furious.这不是一部轻松的电影——它节奏很快，扣人心弦。More examplesThe police car was going so fast, it must have been chasing someone.Isabel's heart was beating fast with fright.We were scrabbling over the rocks as fast as we could.I think the kitchen clock is fast.Given his age, he's a remarkably fast runner.  fast adjective IMMORAL  old-fashioned disapproving without moral principles放荡的 a fast crowd一群生活放荡的人 a fast woman淫妇  fast adjective FIXED  If the colour of a piece of clothing is fast, the colour does not come out of the cloth when it is washed.（衣服）不褪色的  adverbuk/fɑːst/ us/fæst/  A2 quickly快速地；迅速地 The accident was caused by people driving too fast in bad conditions.事故是因恶劣环境下驾驶速度过快造成的。 You'll have to act fast.你必须迅速行动。 Children's publishing is a fast-growing business.儿童出版是一个发展迅速的行业。More examplesThe police car was going so fast, it must have been chasing someone.""You always walk too fast for me, "" she said complainingly.He drove so fast that I really felt my life was in danger.The seats in the hall were filling up fast.Poor standards of hygiene mean that the disease spreads fast. Idiom(s)as fast as your legs would carry youplay fast and loose with sth/sb adverb, adjectiveuk/fɑːst/ us/fæst/  C2 firmly fixed牢固地 The glue had set and my hand was stuck fast.胶水凝固了，我的手被牢牢粘住。 He tried to get away, but she held him fast.他想逃走，但是她紧紧抓住了他。 Idiom(s)hold/stand fast noun [ C ]uk/fɑːst/ us/fæst/   a period of time when you eat no food禁食期；斋戒期 Hundreds of prisoners began a fast in protest about prison conditions.数百名犯人开始绝食，抗议监狱条件太差。  verb [ I ]uk/fɑːst/ us/fæst/   to eat no food for a period of time禁食；斋戒 One day a week he fasts for health reasons.他出于健康考虑每周禁食一天。     fast, quickly  fast: 侧重于指人或物体具有运动速度快的特点, run fast,  quickly: 侧重指某事完成或发生的快 answer the question quickly     hasty, quick, prompt, fast, instant, rapid, speedy, swift  hasty: 多指匆忙、草率或仓促的行动，着重缺乏深思熟虑。  quick: 特指瞬时动作，强调动作敏捷迅速；也指匆忙的行为，而不暗示速度很快。  prompt: 主要指动作迅速，毫不拖延，含“快得令人愉悦”的意味。  fast: 常指人或物持续地高速运动，强调运动的方式。  instant: 指某事很快发生或急待解决，含刻不容缓之意。  rapid: 比fast和quick正式，常指运动本身，侧重速度惊人。所指动作可能是短暂的，也可能是持续的。  speedy: 指人或物或其运动、活动时，着重极度的快捷，多含匆忙意味。  swift: 正式用词，强调非常迅速，往往含动作轻快敏捷之意。      When you see fast, you might think of Olympic runner Usain ""Lightning"" Bolt or a Porsche 911 Turbo. Alternatively, and quite confusingly, fast also means to refrain from eating for a certain period, usually for religious reasons.Fast is another of those deceptively simple words that have a number of other meanings beyond their most common usages. If something ""sticks fast"" it means it cannot be removed — like a leech or a stain. ""To stand fast"" means not to give up your point of view or to remain loyal. Then there's also the slang meaning of living beyond the constraints of normal behavior — as in ""the fast life,"" ""the fast track,"" or ""the fast lane.""fast: fasted, faster, fastest, fasting, fastingly, fastly, fastness, fasts/faster: fasters/fastest: fastests/fasting: fastings/fastness: fastnesses    fast"
