#separator:tab
#html:false
two-point             n.二点[网络]二点交叉；两点侦测；两点法	two-point         n.二点[网络]二点交叉；两点侦测；两点法                                two-point
fog   /fɑːɡ/          n.雾；烟雾，尘雾；迷惑vt.使模糊；使困惑；以雾笼罩vi.被雾笼罩；变模糊时态:fogged, fogging, fogs雾 93%，迷惑 3%，使模糊 2%，以雾笼罩 1%，朦胧 1%词性：名词 94%, 动词 6%	"fog  /fɑːɡ/       n.雾；烟雾，尘雾；迷惑vt.使模糊；使困惑；以雾笼罩vi.被雾笼罩；变模糊时态:fogged, fogging, fogs雾 93%，迷惑 3%，使模糊 2%，以雾笼罩 1%，朦胧 1%词性：名词 94%, 动词 6%           I did not want to drive in the thick fog.我不想在浓雾中开车。      词源不详.n.雾气,雾v.以雾笼罩,被雾笼罩The slogan crier saw the dog and frog jump to and fro in the fog.呼口号者看见狗和青蛙在雾中来回跳.      nounuk/fɒɡ/ us/fɑːɡ/  fog noun WEATHER A2 [ U ] a weather condition in which very small drops of water come together to form a thick cloud close to the land or seaocean, making it difficult to see雾 Thick/Heavy/Dense fog has made driving conditions dangerous.浓雾使开车颇为危险。 Mist, fog, and snow are common in this area.薄雾、寒雾和雪在这个地区很常见。 It took several hours for the fog to lift.几个小时以后雾才散去。More examplesThe fog is expected to have cleared away by midday.We could see a dim shape in the fog.Freezing fog and icy patches are expected to cause problems for motorists tonight.Outside the fields were blanketed in fog.The fog swirled thickly around us.  fog noun CONFUSION  [ S ] informal a confused or uncertain state, usually mentally or emotionally困惑；迷惘 I went home in a fog of disbelief.我心怀疑虑地回了家。  verb [ T ]uk/fɒɡ/ us/fɑːɡ/ -gg-  to make something or someone confused or uncertain使困惑；使迷惘；使不清晰 Alcohol fogs the brain.酒精使头脑发昏。 The president's speech had simply fogged the issue.总统的讲话只是让问题越发不清楚了。Phrasal verb(s)fog up    fog, smog, mist  这组词都有“雾”的意思，其区别是：  fog: 指较浓的雾。  smog: 指工业区的烟和雾相混而造成的又黑又浓的烟雾。  mist: 指轻雾，气象学上称作霭。      Fog is a hazy, cloudy layer of water vapor very that hovers close to the ground. Driving in fog feels a bit like being inside a cloud.Fog is just what it appears to be — a cloud lying low in the atmosphere, getting its moisture from a body of water like the ocean or a river. When fog is thick, it can be dangerous to drive in, and most cars have special ""fog lights"" to help drivers see the road. When you're deeply confused, you can call it a fog too, and when things are unclear (literally or figuratively), they're said to fog up.""fog: defog, fogged, fogging, foggy, fogs/defog: defogging/foggy: foggier, foggiest, foggily, fogginess    fog"
functionary   /ˈfʌŋkʃəneri/          n.官员，公务员adj.官员的，公务员的；职务上的	functionary  /ˈfʌŋkʃəneri/       n.官员，公务员adj.官员的，公务员的；职务上的           The fat man signing papers is just a minor functionary.签署文件的胖子只是一个小职能部门。      来自 function, 功能. 用于指公职人员.      noun [ C ]uk/ˈfʌŋk.ʃən.ər.i/ us/ˈfʌŋk.ʃən.er.i/ formal  a person who has official duties, especially in a government or political party（尤指政府机关或政党的）工作人员，公务员 The visitors were met by a functionary who escorted them to the director's office.来访者由一位工作人员迎接并送至局长办公室。 a government functionary政府公务员       A functionary is someone who fills a specific role in a political party or some other organization. We tend to picture them as people in gray suits who follow the boss's orders and don't think for themselves.The origins of this word go back to the French Revolution, and specifically Napoleon. After conquering most of Europe, Napoleon needed lots of people to help carry out all the functions, or duties, of his huge, centralized state. To build an empire you need soldiers; to run an empire you need office workers. These desk knights, if you will, were called fonctionnaires.functionary: functionaries/function: disfunction, functional, functionary, functioned, functioning, functions, misfunction/functional: functionalism, functionality, functionally, nonfunctional, unfunctional/functionalism: functionalist/functionalist: functionalists/functionality: functionalities/functioning: functionings/misfunction: misfunctioned, misfunctioning    functionary
signaling   /ˈsɪɡnəlɪŋ/          n.发信号；打信号原型:signaling 是 signale 的现在分词发信号 59%，打信号 31%，动词signal的现在分词. 10%词性：形容词 63%, 名词 37%	signaling  /ˈsɪɡnəlɪŋ/       n.发信号；打信号原型:signaling 是 signale 的现在分词发信号 59%，打信号 31%，动词signal的现在分词. 10%词性：形容词 63%, 名词 37%                                signaling
lockstep   /ˈlɑːkstep/          n.因循守旧；密集连锁的步伐；步伐一致因循守旧 50%，步调一致 50%	lockstep  /ˈlɑːkstep/       n.因循守旧；密集连锁的步伐；步伐一致因循守旧 50%，步调一致 50%                                lockstep
meritocracy   /ˌmerɪˈtɑːkrəsi/          n.英才教育（制度）；精英管理的社会精英制度 56%，能者为领袖的制度 22%，精英领导 22%	"meritocracy  /ˌmerɪˈtɑːkrəsi/       n.英才教育（制度）；精英管理的社会精英制度 56%，能者为领袖的制度 22%，精英领导 22%                 merit, 才能, -cracy, 管理, 词源同 democracy. 引申词义精英领导体制.      noun [ C or U ]uk/ˌmer.ɪˈtɒk.rə.si/ us/ˌmer.əˈtɑː.krə.si/   a social system, society, or organization in which people have power because of their abilities, not because of their money or social position精英领导体制；精英管理的社会 The company is a meritocracy. Good work is rewarded with promotions.这家公司施行精英管理，干得好就会被晋升。       Meritocracy is the belief — or a social system founded on that belief — that rulers should be chosen for their abilities rather than for their wealth or family tree.Meritocracy, coined in 1958 by Michael Young, is a combination of merit (""goodness worthy of praise or reward"") and aristocracy, meaning ""the highest class in certain societies."" In a government based on meritocracy, the leaders are chosen because they are the smartest and have best judgment. They can come from the poorest, most humble background just as long as they are the most noble and fit to rule.meritocracy: meritocracies, meritocratic/meritocratic: meritocratically    meritocracy"
avowed   /əˈvaʊd/          adj.公开宣布的；公开承认的；公然的v.声明（avow的过去式和过去分词）原型:avowed 是 avow 的过去式公开宣布的 63%，自认的 25%，动词awow的过去式和过去分词形式. 12%	avowed  /əˈvaʊd/       adj.公开宣布的；公开承认的；公然的v.声明（avow的过去式和过去分词）原型:avowed 是 avow 的过去式公开宣布的 63%，自认的 25%，动词awow的过去式和过去分词形式. 12%                       adjective [ before noun ]uk/əˈvaʊd/ us/əˈvaʊd/ formal  stated公开承认的；公开宣称的 The government's avowed intent/purpose/aim is to reduce tax.政府公开宣称的目的是减税。 An avowed traditionalist, he is against reform of any kind.他公开宣称自己是个崇尚传统的人，反对任何形式的改革。          avowed
smoke-free   /ˌsmoʊk ˈfriː/          adj.无烟的；禁止吸烟的无烟的 60%，禁止吸烟的 40%	smoke-free  /ˌsmoʊk ˈfriː/       adj.无烟的；禁止吸烟的无烟的 60%，禁止吸烟的 40%           This restaurant is a smoke-free area: we like to be able to taste the food.餐厅是无烟区域，我们希望能安心品尝食物。                     smoke-free
fifty-four             五十四五十四 100%	fifty-four         五十四五十四 100%                                fifty-four
damp   /dæmp/          n.潮湿，湿气adj.潮湿的vt.使潮湿；使阻尼；使沮丧，抑制vi.减幅，阻尼；变潮湿时态:damped, damping, damps级别:damper, dampest潮湿 56%，潮湿的 32%，湿气 4%，有湿气的 2%，沮丧的 2%，使潮湿 2%，变潮湿 1%，使扫兴 1%词性：形容词 88%, 动词 7%, 名词 5%	"damp  /dæmp/       n.潮湿，湿气adj.潮湿的vt.使潮湿；使阻尼；使沮丧，抑制vi.减幅，阻尼；变潮湿时态:damped, damping, damps级别:damper, dampest潮湿 56%，潮湿的 32%，湿气 4%，有湿气的 2%，沮丧的 2%，使潮湿 2%，变潮湿 1%，使扫兴 1%词性：形容词 88%, 动词 7%, 名词 5%           London is damp and wet.伦敦很潮湿。      词源不详.n.潮湿a.潮湿的vt.使潮湿;使衰减He stamped on the stamps and slammed the lamp on the damp dam.他用脚踩邮票并将灯砰地摔在潮湿的坝上.【参】dampness（n.潮湿；湿气） 【类】damp:vibration＝stanch:flow   阻尼制止振动＝止流制止流动tint:suffuse＝damp:quench   染色于:充满＝使潮湿:冷浸（程度） 【反】damped（被压低声音的）－amplified（被放大的）；sere（adj.干枯的）      adjectiveuk/dæmp/ us/dæmp/  B2 slightly wet, especially in a way that is not pleasant or comfortable潮湿的，潮乎乎的 The grass is still damp.草还有些潮湿。 This shirt still feels a bit damp.这件衬衫摸上去还有点儿潮乎乎的。 It was a damp, misty morning.那是一个潮湿而又雾气蒙蒙的早晨。More examplesThe room was damp and smelly so we opened all the windows and gave it a good airing .Put those damp clothes in the tumble dryer.The hotel walls were covered in damp patches.The house was dusty, damp and unwelcoming.Left in the garage where it was damp, the wooden frame had warped.     damp, moist, wet, humid  这组词都有“潮湿的”的意思，其区别是：  damp: 指吸进或覆盖着一点水份，常表示潮湿得使人不舒服。  moist: 指微湿，侧重不干，但并非湿得使人不快。  wet: 普通用词，指各种潮湿的状态。  humid: 正式用词，特指空气与天气的潮湿，相对湿度大。     damp, soak, wet  这组词都有“使潮湿”的意思，其区别是：  damp: 指全部弄湿，侧重状态。  soak: 多指浸没，侧重最后结果。  wet: 普通用词，一般指水所发挥的作用。      Something that's damp is slightly wet or soggy. If your shoes are damp when you enter your friend's white-carpeted house, you should probably take them off.Damp things are moist. Your lawn might be damp with dew in the morning, and if it's supposed to rain lightly, the weather report might include the word damp. Sometimes damp is a noun, as when your grandmother warns, ""Don't go out in the damp without your umbrella!"" To damp is to hold back, make soft, or restrain: ""Use your hand to damp the sound of the cymbal after you hit it with the drumstick.""damp: damped, damper, dampest, damping, dampish, damply, dampness, damps/damper: dampers/dampish: dampishly/dampness: dampnesses    damp"
provocateur   /prəˌvɑːkəˈtɜːr/          n.破坏分子，煽动者（等于agent provocateur）；奸细，内奸奸细 100%	"provocateur  /prəˌvɑːkəˈtɜːr/       n.破坏分子，煽动者（等于agent provocateur）；奸细，内奸奸细 100%                             A provocateur has the job of convincing people to commit crimes. Usually, a provocateur works for a police department or government.If police want to catch a criminal in the act, they might use a provocateur to induce the suspect to buy drugs, for example, so officers can swoop in and make an arrest. Provocateur is a shortened form of ""agent provocateur,"" used since the late 1800s to mean ""person hired to make trouble."" When police officers pretend to join protests — such as those at political conventions — with the goal of inciting people to violence and then arresting them, they act as provocateurs.provocateur: provocateurs   provocateur"
photojournalist   /,fəu,təu'dʒɛnəlist/          n.新闻摄影记者摄影记者 100%	photojournalist  /,fəu,təu'dʒɛnəlist/       n.新闻摄影记者摄影记者 100%                                photojournalist
bustle   /ˈbʌs(ə)l/          n.喧闹；活跃；裙撑；热闹的活动vt.使忙碌；催促vi.喧闹；忙乱；充满时态:bustled, bustling, bustles匆忙 38%，衬垫 25%，催促 25%，喧哗 12%词性：动词 72%, 名词 28%	"bustle  /ˈbʌs(ə)l/       n.喧闹；活跃；裙撑；热闹的活动vt.使忙碌；催促vi.喧闹；忙乱；充满时态:bustled, bustling, bustles匆忙 38%，衬垫 25%，催促 25%，喧哗 12%词性：动词 72%, 名词 28%           We always enjoy the lively bustle of the weekend street market.我们总是很享受周末街市生气勃勃的喧闹。      来自 bust, 同 burst, 爆发.      verb [ I + adv/prep ]uk/ˈbʌs.əl/ us/ˈbʌs.əl/   to do things in a hurried and busy way匆忙做；忙碌 Thora bustled around the house, getting everything ready.托拉在公寓里忙着把所有东西都准备好。  nounuk/ˈbʌs.əl/ us/ˈbʌs.əl/  bustle noun ACTIVITY  [ U ] busy activity热闹的活动 I sat in a café, watching the (hustle and) bustle of the street outside.我坐在咖啡馆里，望着街上忙碌的景象。  bustle noun DRESS  [ C ] a frame worn under a dress or skirt by women in the late 19th century to make the skirt stick out（19世纪末女子的）裙撑       A flurry of activity and commotion is often referred to as bustle. If you want to see true bustle in action, just walk through Times Square in New York during lunch hour.If it's busy, energetic or moving about at a rapid pace, then it's bustling. Word historians think bustle might stem from an Old Norse word meaning ""to prepare."" However, it's probably easier to remember bustle by the synonym it's often used with — hustle, as in ""the hustle and bustle of a big city.""bustle: bustled, bustles, bustling/bustling: bustlingly    bustle"
